destination,destination_lat,destination_lon,source,source_lat,source_lon,num_routes
Ürümqi Diwopu International Airport,43.90710068,87.47419739,Lanzhou Zhongchuan Airport,36.51520157,103.6200027,9
Ürümqi Diwopu International Airport,43.90710068,87.47419739,Xi'an Xianyang International Airport,34.447102,108.751999,9
Xining Caojiabu Airport,36.5275,102.042999,Xi'an Xianyang International Airport,34.447102,108.751999,9
Chengdu Shuangliu International Airport,30.57850075,103.9469986,Kunming Changshui International Airport,25.1019444,102.9291667,9
Chongqing Jiangbei International Airport,29.71920013,106.6419983,Kunming Changshui International Airport,25.1019444,102.9291667,9
Nanjing Lukou Airport,31.74200058,118.8619995,Xiamen Gaoqi International Airport,24.54400063,118.1279984,9
Liuting Airport,36.26610184,120.3740005,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,9
Chengdu Shuangliu International Airport,30.57850075,103.9469986,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,9
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Liuting Airport,36.26610184,120.3740005,9
Taoxian Airport,41.63980103,123.4830017,Liuting Airport,36.26610184,120.3740005,9
Kunming Changshui International Airport,25.1019444,102.9291667,Chongqing Jiangbei International Airport,29.71920013,106.6419983,9
Kunming Changshui International Airport,25.1019444,102.9291667,Chengdu Shuangliu International Airport,30.57850075,103.9469986,9
Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,Chengdu Shuangliu International Airport,30.57850075,103.9469986,9
Ürümqi Diwopu International Airport,43.90710068,87.47419739,Kashgar Airport,39.54290009,76.01999664,9
Xi'an Xianyang International Airport,34.447102,108.751999,Ürümqi Diwopu International Airport,43.90710068,87.47419739,9
Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,Ürümqi Diwopu International Airport,43.90710068,87.47419739,9
Kashgar Airport,39.54290009,76.01999664,Ürümqi Diwopu International Airport,43.90710068,87.47419739,9
Liuting Airport,36.26610184,120.3740005,Taoxian Airport,41.63980103,123.4830017,9
Xi'an Xianyang International Airport,34.447102,108.751999,Xining Caojiabu Airport,36.5275,102.042999,9
Suvarnabhumi Airport,13.68109989,100.7470016,Singapore Changi Airport,1.35019,103.994003,9
Sydney Kingsford Smith International Airport,-33.94609833,151.177002,Singapore Changi Airport,1.35019,103.994003,9
Brisbane International Airport,-27.38419914,153.1170044,Singapore Changi Airport,1.35019,103.994003,9
Perth International Airport,-31.94029999,115.9670029,Singapore Changi Airport,1.35019,103.994003,9
Singapore Changi Airport,1.35019,103.994003,Perth International Airport,-31.94029999,115.9670029,9
Suvarnabhumi Airport,13.68109989,100.7470016,Kuala Lumpur International Airport,2.745579958,101.7099991,9
McCarran International Airport,36.08010101,-115.1520004,Los Angeles International Airport,33.94250107,-118.4079971,9
Narita International Airport,35.76470184,140.3860016,Los Angeles International Airport,33.94250107,-118.4079971,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Los Angeles International Airport,33.94250107,-118.4079971,9
Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,Los Angeles International Airport,33.94250107,-118.4079971,9
Los Angeles International Airport,33.94250107,-118.4079971,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,9
Los Angeles International Airport,33.94250107,-118.4079971,McCarran International Airport,36.08010101,-115.1520004,9
Singapore Changi Airport,1.35019,103.994003,Sydney Kingsford Smith International Airport,-33.94609833,151.177002,9
Singapore Changi Airport,1.35019,103.994003,Brisbane International Airport,-27.38419914,153.1170044,9
Brisbane International Airport,-27.38419914,153.1170044,Cairns International Airport,-16.88579941,145.7550049,9
Los Angeles International Airport,33.94250107,-118.4079971,Daniel K Inouye International Airport,21.32062,-157.924228,9
Miami International Airport,25.79319954,-80.29060364,Charles de Gaulle International Airport,49.012798,2.55,9
Dallas Fort Worth International Airport,32.896801,-97.038002,Frankfurt am Main Airport,50.033333,8.570556,9
John F Kennedy International Airport,40.63980103,-73.77890015,Barcelona International Airport,41.2971,2.07846,9
John F Kennedy International Airport,40.63980103,-73.77890015,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,9
Port Bouet Airport,5.261390209,-3.926290035,Kotoka International Airport,5.6051898,-0.166786,8
Conakry International Airport,9.57689,-13.612,Léopold Sédar Senghor International Airport,14.73970032,-17.49020004,8
Amsterdam Airport Schiphol,52.308601,4.76389,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,8
Brussels Airport,50.90140152,4.48443985,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,8
Palma De Mallorca Airport,39.55170059,2.738810062,Manchester Airport,53.35369873,-2.274950027,8
Tenerife South Airport,28.04450035,-16.57250023,Manchester Airport,53.35369873,-2.274950027,8
Tenerife South Airport,28.04450035,-16.57250023,London Gatwick Airport,51.148102,-0.190278,8
Seattle Tacoma International Airport,47.449001,-122.308998,London Heathrow Airport,51.4706,-0.461941,8
Newark Liberty International Airport,40.69250107,-74.16870117,London Heathrow Airport,51.4706,-0.461941,8
Washington Dulles International Airport,38.94449997,-77.45580292,London Heathrow Airport,51.4706,-0.461941,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,London Heathrow Airport,51.4706,-0.461941,8
Léopold Sédar Senghor International Airport,14.73970032,-17.49020004,Conakry International Airport,9.57689,-13.612,8
London Gatwick Airport,51.148102,-0.190278,Tenerife South Airport,28.04450035,-16.57250023,8
Abu Dhabi International Airport,24.43300056,54.65110016,Bahrain International Airport,26.27079964,50.63359833,8
Bahrain International Airport,26.27079964,50.63359833,Abu Dhabi International Airport,24.43300056,54.65110016,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Luis Munoz Marin International Airport,18.43939972,-66.00180054,8
London Heathrow Airport,51.4706,-0.461941,Newark Liberty International Airport,40.69250107,-74.16870117,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,8
London Heathrow Airport,51.4706,-0.461941,Miami International Airport,25.79319954,-80.29060364,8
Charles de Gaulle International Airport,49.012798,2.55,Miami International Airport,25.79319954,-80.29060364,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,8
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Tampa International Airport,27.97550011,-82.53320313,8
Minneapolis-St Paul International/Wold-Chamberlain Airport,44.882,-93.221802,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Charlotte Douglas International Airport,35.2140007,-80.94309998,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
John Glenn Columbus International Airport,39.998001,-82.891899,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
La Guardia Airport,40.77719879,-73.87259674,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
London Heathrow Airport,51.4706,-0.461941,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Kansas City International Airport,39.2976,-94.713898,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Orlando International Airport,28.42939949,-81.30899811,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Palm Beach International Airport,26.68320084,-80.09559631,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
Southwest Florida International Airport,26.53619957,-81.75520325,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
San Diego International Airport,32.73360062,-117.1900024,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,8
