source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,29.9843998,-95.34140015,George Bush Intercontinental Houston Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,39.7173,-86.294403,Indianapolis International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,30.49410057,-81.68789673,Jacksonville International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,29.99340057,-90.25800323,Louis Armstrong New Orleans International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,39.87189865,-75.2410965,Philadelphia International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,33.43429947,-112.012001,Phoenix Sky Harbor International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,35.87760162,-78.78749847,Raleigh Durham International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,37.61899948,-122.375,San Francisco International Airport,9,0
Mexico,United States,Cancún International Airport,21.03650093,-86.87709808,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
Ireland,United States,Dublin Airport,53.421299,-6.27007,40.63980103,-73.77890015,John F Kennedy International Airport,9,0
United States,United States,Daniel K Inouye International Airport,21.32062,-157.924228,33.94250107,-118.4079971,Los Angeles International Airport,9,0
United States,United States,Washington Dulles International Airport,38.94449997,-77.45580292,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Indianapolis International Airport,39.7173,-86.294403,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Jacksonville International Airport,30.49410057,-81.68789673,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,Ireland,John F Kennedy International Airport,40.63980103,-73.77890015,53.421299,-6.27007,Dublin Airport,9,0
United States,United States,Los Angeles International Airport,33.94250107,-118.4079971,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Philadelphia International Airport,39.87189865,-75.2410965,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
United States,United States,Raleigh Durham International Airport,35.87760162,-78.78749847,33.6367,-84.428101,Hartsfield Jackson Atlanta International Airport,9,0
Australia,Singapore,Perth International Airport,-31.94029999,115.9670029,1.35019,103.994003,Singapore Changi Airport,9,0
Singapore,Australia,Singapore Changi Airport,1.35019,103.994003,-33.94609833,151.177002,Sydney Kingsford Smith International Airport,9,0
