airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
3384,Nanchang Changbei International Airport,China,86,86,0
2988,Vnukovo International Airport,Russia,86,85,0
1739,Belgrade Nikola Tesla Airport,Serbia,86,85,0
2305,Fukuoka Airport,Japan,85,85,0
2057,Bahrain International Airport,Bahrain,84,86,0
3942,Chubu Centrair International Airport,Japan,84,85,0
3378,Lanzhou Zhongchuan Airport,China,84,84,0
3387,Ningbo Lishe International Airport,China,84,84,0
304,Brussels South Charleroi Airport,Belgium,84,84,0
521,Newcastle Airport,United Kingdom,84,81,0
3626,Raleigh Durham International Airport,United States,83,84,0
3673,Austin Bergstrom International Airport,United States,83,84,0
337,Berlin-Schönefeld Airport,Germany,83,82,0
1472,Diagoras Airport,Greece,82,86,0
2064,King Fahd International Airport,Saudi Arabia,82,82,0
3690,Nashville International Airport,United States,82,82,0
6347,Shijiazhuang Daguocun International Airport,China,82,82,0
1246,Valencia Airport,Spain,82,81,0
3458,Kansas City International Airport,United States,82,77,0
6392,Wenzhou Longwan International Airport,China,81,81,0
2287,New Chitose Airport,Japan,81,81,0
1525,Il Caravaggio International Airport,Italy,81,81,0
3486,Cleveland Hopkins International Airport,United States,81,80,0
2983,Tashkent International Airport,Uzbekistan,81,79,0
517,Leeds Bradford Airport,United Kingdom,80,80,0
6341,Beijing Nanyuan Airport,China,80,80,0
2372,Gimhae International Airport,South Korea,80,80,0
2650,Comodoro Arturo Merino Benítez International Airport,Chile,79,79,0
3121,Macau International Airport,Macau,79,79,0
1561,Naples International Airport,Italy,79,79,0
3566,William P Hobby Airport,United States,79,70,1
1273,Toulouse-Blagnac Airport,France,78,83,0
3389,Hefei Luogang International Airport,China,77,77,0
1562,Pisa International Airport,Italy,76,76,0
352,Hannover Airport,Germany,76,76,0
1885,Juan Santamaria International Airport,Costa Rica,76,73,0
3488,Cincinnati Northern Kentucky International Airport,United States,75,75,0
3988,Ministro Pistarini International Airport,Argentina,75,74,0
3570,Pittsburgh International Airport,United States,74,74,0
3076,Hazrat Shahjalal International Airport,Bangladesh,74,74,0
1075,Menara Airport,Morocco,73,72,0
1760,Punta Cana International Airport,Dominican Republic,73,70,0
1825,General Mariano Escobedo International Airport,Mexico,72,73,0
3179,Phuket International Airport,Thailand,71,67,0
629,Luxembourg-Findel International Airport,Luxembourg,70,70,0
3585,Indianapolis International Airport,United States,69,69,0
636,Bergen Airport Flesland,Norway,69,68,0
49,Edmonton International Airport,Canada,68,71,0
3621,San Antonio International Airport,United States,68,68,1
585,Eindhoven Airport,Netherlands,68,67,0
1953,Lynden Pindling International Airport,Bahamas,67,68,0
1084,Léopold Sédar Senghor International Airport,Senegal,67,67,0
2908,Almaty Airport,Kazakhstan,67,67,0
3157,Don Mueang International Airport,Thailand,67,67,0
1264,Bordeaux-Mérignac Airport,France,67,67,0
2177,Beirut Rafic Hariri International Airport,Lebanon,67,66,0
1706,Adnan Menderes International Airport,Turkey,66,67,0
1194,Sofia Airport,Bulgaria,66,66,0
3928,Juanda International Airport,Indonesia,65,66,0
4085,Yinchuan Airport,China,65,66,0
2264,Kaohsiung International Airport,Taiwan,65,64,0
4033,Lijiang Airport,China,65,64,0
2442,Jorge Newbery Airpark,Argentina,65,63,0
4331,Mashhad International Airport,Iran,65,63,0
1216,Bilbao Airport,Spain,65,63,0
1253,Sevilla Airport,Spain,65,62,0
3717,General Mitchell International Airport,United States,65,60,0
4380,Longjia Airport,China,64,67,0
2922,Heydar Aliyev International Airport,Azerbaijan,64,64,0
3759,John Glenn Columbus International Airport,United States,63,65,0
3793,Southwest Florida International Airport,United States,63,65,0
