source_country,destination_country,source_airport,destination_airport,source_lat,source_lon,destination_lat,destination_lon,airline_name,airline_iata,num_direct_flights,num_connecting_flights,distance_km
Philippines,Canada,Ninoy Aquino International Airport,Vancouver International Airport,14.5086,121.019997,49.19390106,-123.1839981,Philippine Airlines,PR,1,0,10554.11306
Canada,Philippines,Vancouver International Airport,Ninoy Aquino International Airport,49.19390106,-123.1839981,14.5086,121.019997,Philippine Airlines,PR,1,0,10554.11306
Brazil,Turkey,Guarulhos - Governador André Franco Montoro International Airport,Atatürk International Airport,-23.43555641,-46.47305679,40.976898,28.8146,Turkish Airlines,TK,1,0,10548.99017
Turkey,Brazil,Atatürk International Airport,Guarulhos - Governador André Franco Montoro International Airport,40.976898,28.8146,-23.43555641,-46.47305679,Turkish Airlines,TK,1,0,10548.99017
United States,Japan,Detroit Metropolitan Wayne County Airport,Chubu Centrair International Airport,42.21239853,-83.35340118,34.85839844,136.8049927,Delta Air Lines,DL,1,0,10520.81224
Japan,United States,Chubu Centrair International Airport,Detroit Metropolitan Wayne County Airport,34.85839844,136.8049927,42.21239853,-83.35340118,Delta Air Lines,DL,1,0,10520.81224
Netherlands,Peru,Amsterdam Airport Schiphol,Jorge Chávez International Airport,52.308601,4.76389,-12.0219,-77.114305,Alitalia,AZ,1,0,10519.91277
Peru,Netherlands,Jorge Chávez International Airport,Amsterdam Airport Schiphol,-12.0219,-77.114305,52.308601,4.76389,Alitalia,AZ,1,0,10519.91277
Netherlands,Peru,Amsterdam Airport Schiphol,Jorge Chávez International Airport,52.308601,4.76389,-12.0219,-77.114305,KLM Royal Dutch Airlines,KL,1,0,10519.91277
Peru,Netherlands,Jorge Chávez International Airport,Amsterdam Airport Schiphol,-12.0219,-77.114305,52.308601,4.76389,KLM Royal Dutch Airlines,KL,1,0,10519.91277
South Korea,United States,Incheon International Airport,Chicago O'Hare International Airport,37.46910095,126.4509964,41.9786,-87.9048,Korean Air,KE,1,0,10519.07051
United States,South Korea,Chicago O'Hare International Airport,Incheon International Airport,41.9786,-87.9048,37.46910095,126.4509964,Korean Air,KE,1,0,10519.07051
South Korea,United States,Incheon International Airport,Chicago O'Hare International Airport,37.46910095,126.4509964,41.9786,-87.9048,Asiana Airlines,OZ,1,0,10519.07051
United States,South Korea,Chicago O'Hare International Airport,Incheon International Airport,41.9786,-87.9048,37.46910095,126.4509964,Asiana Airlines,OZ,1,0,10519.07051
South Korea,United States,Incheon International Airport,Chicago O'Hare International Airport,37.46910095,126.4509964,41.9786,-87.9048,Delta Air Lines,DL,1,0,10519.07051
United States,South Korea,Chicago O'Hare International Airport,Incheon International Airport,41.9786,-87.9048,37.46910095,126.4509964,Delta Air Lines,DL,1,0,10519.07051
Netherlands,Singapore,Amsterdam Airport Schiphol,Singapore Changi Airport,52.308601,4.76389,1.35019,103.994003,Singapore Airlines,SQ,1,0,10513.91347
Singapore,Netherlands,Singapore Changi Airport,Amsterdam Airport Schiphol,1.35019,103.994003,52.308601,4.76389,Singapore Airlines,SQ,1,0,10513.91347
Singapore,Netherlands,Singapore Changi Airport,Amsterdam Airport Schiphol,1.35019,103.994003,52.308601,4.76389,US Airways,US,1,0,10513.91347
Netherlands,Singapore,Amsterdam Airport Schiphol,Singapore Changi Airport,52.308601,4.76389,1.35019,103.994003,KLM Royal Dutch Airlines,KL,1,0,10513.91347
Singapore,Netherlands,Singapore Changi Airport,Amsterdam Airport Schiphol,1.35019,103.994003,52.308601,4.76389,KLM Royal Dutch Airlines,KL,1,0,10513.91347
New Zealand,United States,Auckland International Airport,San Francisco International Airport,-37.0080986,174.7920074,37.61899948,-122.375,Air New Zealand,NZ,1,0,10508.95644
United States,New Zealand,San Francisco International Airport,Auckland International Airport,37.61899948,-122.375,-37.0080986,174.7920074,Air New Zealand,NZ,1,0,10508.95644
New Zealand,United States,Auckland International Airport,San Francisco International Airport,-37.0080986,174.7920074,37.61899948,-122.375,United Airlines,UA,1,0,10508.95644
United States,New Zealand,San Francisco International Airport,Auckland International Airport,37.61899948,-122.375,-37.0080986,174.7920074,United Airlines,UA,1,0,10508.95644
United States,New Zealand,San Francisco International Airport,Auckland International Airport,37.61899948,-122.375,-37.0080986,174.7920074,US Airways,US,1,0,10508.95644
New Zealand,United States,Auckland International Airport,Los Angeles International Airport,-37.0080986,174.7920074,33.94250107,-118.4079971,Air New Zealand,NZ,1,0,10486.55671
United States,New Zealand,Los Angeles International Airport,Auckland International Airport,33.94250107,-118.4079971,-37.0080986,174.7920074,Air New Zealand,NZ,1,0,10486.55671
New Zealand,United States,Auckland International Airport,Los Angeles International Airport,-37.0080986,174.7920074,33.94250107,-118.4079971,United Airlines,UA,1,0,10486.55671
United States,New Zealand,Los Angeles International Airport,Auckland International Airport,33.94250107,-118.4079971,-37.0080986,174.7920074,United Airlines,UA,1,0,10486.55671
United States,New Zealand,Los Angeles International Airport,Auckland International Airport,33.94250107,-118.4079971,-37.0080986,174.7920074,US Airways,US,1,0,10486.55671
Spain,Argentina,Barcelona International Airport,Ministro Pistarini International Airport,41.2971,2.07846,-34.8222,-58.5358,Aerolineas Argentinas,AR,1,0,10480.85664
Argentina,Spain,Ministro Pistarini International Airport,Barcelona International Airport,-34.8222,-58.5358,41.2971,2.07846,Aerolineas Argentinas,AR,1,0,10480.85664
United States,Saudi Arabia,John F Kennedy International Airport,King Khaled International Airport,40.63980103,-73.77890015,24.95759964,46.69879913,Saudi Arabian Airlines,SV,1,0,10480.19998
Saudi Arabia,United States,King Khaled International Airport,John F Kennedy International Airport,24.95759964,46.69879913,40.63980103,-73.77890015,Saudi Arabian Airlines,SV,1,0,10480.19998
United States,Nigeria,George Bush Intercontinental Houston Airport,Murtala Muhammed International Airport,29.9843998,-95.34140015,6.577370167,3.321160078,United Airlines,UA,1,0,10468.90592
Nigeria,United States,Murtala Muhammed International Airport,George Bush Intercontinental Houston Airport,6.577370167,3.321160078,29.9843998,-95.34140015,United Airlines,UA,1,0,10468.90592
Saudi Arabia,Canada,King Abdulaziz International Airport,Lester B. Pearson International Airport,21.6796,39.156502,43.67720032,-79.63059998,Saudi Arabian Airlines,SV,1,0,10444.48503
Canada,Saudi Arabia,Lester B. Pearson International Airport,King Abdulaziz International Airport,43.67720032,-79.63059998,21.6796,39.156502,Saudi Arabian Airlines,SV,1,0,10444.48503
France,Malaysia,Charles de Gaulle International Airport,Kuala Lumpur International Airport,49.012798,2.55,2.745579958,101.7099991,American Airlines,AA,1,0,10441.9631
Malaysia,France,Kuala Lumpur International Airport,Charles de Gaulle International Airport,2.745579958,101.7099991,49.012798,2.55,American Airlines,AA,1,0,10441.9631
France,Malaysia,Charles de Gaulle International Airport,Kuala Lumpur International Airport,49.012798,2.55,2.745579958,101.7099991,Air France,AF,1,0,10441.9631
Malaysia,France,Kuala Lumpur International Airport,Charles de Gaulle International Airport,2.745579958,101.7099991,49.012798,2.55,Air France,AF,1,0,10441.9631
France,Malaysia,Charles de Gaulle International Airport,Kuala Lumpur International Airport,49.012798,2.55,2.745579958,101.7099991,Malaysia Airlines,MH,1,0,10441.9631
Malaysia,France,Kuala Lumpur International Airport,Charles de Gaulle International Airport,2.745579958,101.7099991,49.012798,2.55,Malaysia Airlines,MH,1,0,10441.9631
India,Australia,Indira Gandhi International Airport,Sydney Kingsford Smith International Airport,28.5665,77.103104,-33.94609833,151.177002,Air India Limited,AI,1,0,10435.37192
Australia,India,Sydney Kingsford Smith International Airport,Indira Gandhi International Airport,-33.94609833,151.177002,28.5665,77.103104,Air India Limited,AI,1,0,10435.37192
United States,China,Los Angeles International Airport,Shanghai Pudong International Airport,33.94250107,-118.4079971,31.14340019,121.8050003,China Eastern Airlines,MU,1,0,10415.27359
China,United States,Shanghai Pudong International Airport,Los Angeles International Airport,31.14340019,121.8050003,33.94250107,-118.4079971,China Eastern Airlines,MU,1,0,10415.27359
United States,China,Los Angeles International Airport,Shanghai Pudong International Airport,33.94250107,-118.4079971,31.14340019,121.8050003,United Airlines,UA,1,0,10415.27359
China,United States,Shanghai Pudong International Airport,Los Angeles International Airport,31.14340019,121.8050003,33.94250107,-118.4079971,United Airlines,UA,1,0,10415.27359
United States,China,Los Angeles International Airport,Shanghai Pudong International Airport,33.94250107,-118.4079971,31.14340019,121.8050003,Air China,CA,1,0,10415.27359
China,United States,Shanghai Pudong International Airport,Los Angeles International Airport,31.14340019,121.8050003,33.94250107,-118.4079971,Air China,CA,1,0,10415.27359
United States,China,Los Angeles International Airport,Shanghai Pudong International Airport,33.94250107,-118.4079971,31.14340019,121.8050003,Delta Air Lines,DL,1,0,10415.27359
China,United States,Shanghai Pudong International Airport,Los Angeles International Airport,31.14340019,121.8050003,33.94250107,-118.4079971,Delta Air Lines,DL,1,0,10415.27359
